Name,VRAM start
makerom,80000000
boot,80000460
dmadata,
Audiobank,
Audioseq,
Audiotable,
link_animetion,
icon_item_static,
icon_item_24_static,
icon_item_field_static,
icon_item_dungeon_static,
icon_item_gameover_static,
icon_item_nes_static,
icon_item_ger_static,
icon_item_fra_static,
item_name_static,
map_name_static,
do_action_static,
message_static,
message_texture_static,
nes_font_static,
nes_message_data_static,
ger_message_data_static,
fra_message_data_static,
staff_message_data_static,
map_grand_static,
map_i_static,
map_48x85_static,
code,800116E0
n64dd,801C4F00
ovl_title,80800000
ovl_select,808009C0
ovl_opening,80803720
ovl_file_choose,80803880
ovl_kaleido_scope,808140A0
ovl_player_actor,80830D10
ovl_map_mark_data,80857490
ovl_En_Test,8085DFF0
ovl_En_GirlA,808638A0
ovl_En_Part,808661C0
ovl_En_Light,808677D0
ovl_En_Door,808685C0
ovl_En_Box,80869400
ovl_En_Poh,8086AF40
ovl_En_Okuta,8086F0D0
ovl_En_Bom,808716B0
ovl_En_Wallmas,80872580
ovl_En_Dodongo,80873F90
ovl_En_Firefly,80876D30
ovl_En_Horse,80878EA0
ovl_En_Arrow,80885100
ovl_En_Elf,808867F0
ovl_En_Niw,8088B1B0
ovl_En_Tite,8088E4E0
ovl_En_Reeba,80891280
ovl_En_Peehat,80892CF0
ovl_En_Holl,808963F0
ovl_En_Scene_Change,808973C0
ovl_En_Zf,808974F0
ovl_En_Hata,8089DFF0
ovl_Boss_Dodongo,8089E580
ovl_Boss_Goma,808A8060
ovl_En_Zl1,808ADFE0
ovl_En_Viewer,808B1DE0
ovl_En_Goma,808B4CB0
ovl_Bg_Pushbox,808B7940
ovl_En_Bubble,808B7C40
ovl_Door_Shutter,808B9060
ovl_En_Dodojr,808BB2E0
ovl_En_Bdfire,808BD180
ovl_En_Boom,808BDD10
ovl_En_Torch2,808BE5D0
ovl_En_Bili,808C0D70
ovl_En_Tp,808C3040
ovl_En_St,808C4E90
ovl_En_Bw,808C7B00
ovl_En_Eiyer,808CAE70
ovl_En_River_Sound,808CCAD0
ovl_En_Horse_Normal,808CD460
ovl_En_Ossan,808CFA80
ovl_Bg_Treemouth,808D6060
ovl_Bg_Dodoago,808D76C0
ovl_Bg_Hidan_Dalm,808D8470
ovl_Bg_Hidan_Hrock,808D8CC0
ovl_En_Horse_Ganon,808D94F0
ovl_Bg_Hidan_Rock,808DA270
ovl_Bg_Hidan_Rsekizou,808DB360
ovl_Bg_Hidan_Sekizou,808DBF40
ovl_Bg_Hidan_Sima,808DD390
ovl_Bg_Hidan_Syoku,808DE2B0
ovl_En_Xc,808DE710
ovl_Bg_Hidan_Curtain,808E4EA0
ovl_Bg_Spot00_Hanebasi,808E5940
ovl_En_Mb,808E6A50
ovl_En_Bombf,808EAC80
ovl_Bg_Hidan_Firewall,808EC0F0
ovl_Bg_Dy_Yoseizo,808EC850
ovl_En_Zl2,808EF650
ovl_Bg_Hidan_Fslift,808F3D80
ovl_En_OE2,808F4250
ovl_Bg_Ydan_Hasi,808F4330
ovl_Bg_Ydan_Maruta,808F4AE0
ovl_Boss_Ganondrof,808F51C0
ovl_En_Am,808F9F30
ovl_En_Dekubaba,808FC330
ovl_En_M_Fire1,808FFDD0
ovl_En_M_Thunder,808FFF70
ovl_Bg_Ddan_Jd,80901560
ovl_Bg_Breakwall,80901BB0
ovl_En_Jj,80902A20
ovl_En_Horse_Zelda,80903FF0
ovl_Bg_Ddan_Kd,80904AE0
ovl_Door_Warp1,809053D0
ovl_Obj_Syokudai,80909680
ovl_Item_B_Heart,8090A2C0
ovl_En_Dekunuts,8090A6B0
ovl_Bg_Menkuri_Kaiten,8090BEB0
ovl_Bg_Menkuri_Eye,8090C040
ovl_En_Vali,8090C4E0
ovl_Bg_Mizu_Movebg,8090EB80
ovl_Bg_Mizu_Water,8090FD20
ovl_Arms_Hook,809109F0
ovl_En_fHG,80911750
ovl_Bg_Mori_Hineri,80914080
ovl_En_Bb,80914D80
ovl_Bg_Toki_Hikari,80918A50
ovl_En_Yukabyun,809197F0
ovl_Bg_Toki_Swd,80919E00
ovl_En_Fhg_Fire,8091B450
ovl_Bg_Mjin,8091DA70
ovl_Bg_Hidan_Kousi,8091DE50
ovl_Door_Toki,8091E3D0
ovl_Bg_Hidan_Hamstep,8091E530
ovl_En_Bird,8091F3E0
ovl_En_Wood02,8091F8A0
ovl_En_Lightbox,80920A80
ovl_En_Pu_box,80920F00
ovl_En_Trap,80921240
ovl_En_Arow_Trap,809224E0
ovl_En_Vase,80922630
ovl_En_Ta,80922730
ovl_En_Tk,809260F0
ovl_Bg_Mori_Bigst,80927F20
ovl_Bg_Mori_Elevator,80928850
ovl_Bg_Mori_Kaitenkabe,80929340
ovl_Bg_Mori_Rakkatenjo,809299A0
ovl_En_Vm,8092A310
ovl_Demo_Effect,8092BBC0
ovl_Demo_Kankyo,809316C0
ovl_Bg_Hidan_Fwbig,809353C0
ovl_En_Floormas,809360A0
ovl_En_Heishi1,80939480
