name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
boot,1060,7960,1060,0,80000460,
code,A87000,B8ADA0,A62D40,AFDE00,800116E0,
ovl_title,B9DA70,B9E430,B07AF0,B082B0,80800000,gamestates
ovl_select,B9E430,BA1190,B082B0,B09E10,808009C0,gamestates
ovl_opening,BA1190,BA12F0,B09E10,B09F40,80803720,gamestates
ovl_file_choose,BA12F0,BB1210,B09F40,B12D60,80803880,gamestates
ovl_kaleido_scope,BB1210,BCDBA0,B12D60,B21DA0,808137C0,misc
ovl_player_actor,BCDBA0,BF4210,B21DA0,B3B090,808301C0,actors
ovl_map_mark_data,BF4210,BFAD70,B3B090,B3B440,80856900,misc
ovl_En_Test,BFAD70,C00620,B3B440,B3E910,8085D460,actors
ovl_En_GirlA,C00620,C02F40,B3E910,B3FD80,80862D10,actors
ovl_En_Part,C02F40,C04550,B3FD80,B40DA0,80865630,actors
ovl_En_Light,C04550,C05340,B40DA0,B41760,80866C40,actors
ovl_En_Door,C05340,C06180,B41760,B42330,80867A30,actors
ovl_En_Box,C06180,C07CB0,B42330,B43610,80868870,actors
ovl_En_Poh,C07CB0,C0BE40,B43610,B46090,8086A3B0,actors
ovl_En_Okuta,C0BE40,C0E420,B46090,B47AE0,8086E540,actors
ovl_En_Bom,C0E420,C0F2F0,B47AE0,B48690,80870B20,actors
ovl_En_Wallmas,C0F2F0,C10D00,B48690,B49830,808719F0,actors
ovl_En_Dodongo,C10D00,C13AA0,B49830,B4B770,80873400,actors
ovl_En_Firefly,C13AA0,C15C10,B4B770,B4CDE0,808761A0,actors
ovl_En_Horse,C15C10,C21E70,B4CDE0,B545E0,80878310,actors
ovl_En_Arrow,C21E70,C23560,B545E0,B55660,80884570,actors
ovl_En_Elf,C23560,C27F20,B55660,B58610,80885C60,actors
ovl_En_Niw,C27F20,C2B250,B58610,B5AAF0,8088A620,actors
ovl_En_Tite,C2B250,C2DFF0,B5AAF0,B5C5B0,8088D950,actors
ovl_En_Reeba,C2DFF0,C2FA60,B5C5B0,B5D8B0,808906F0,actors
ovl_En_Peehat,C2FA60,C33160,B5D8B0,B5FB80,80892160,actors
ovl_En_Holl,C33160,C34130,B5FB80,B60720,80895860,actors
ovl_En_Scene_Change,C34130,C34260,B60720,B60810,80896830,actors
ovl_En_Zf,C34260,C3AD50,B60810,B64C80,80896960,actors
ovl_En_Hata,C3AD50,C3B2E0,B64C80,B65180,8089D460,actors
ovl_Boss_Dodongo,C3B2E0,C44DC0,B65180,B6B430,8089D9F0,actors
ovl_Boss_Goma,C44DC0,C4AD40,B6B430,B6EDE0,808A74D0,actors
ovl_En_Zl1,C4AD40,C4EB40,B6EDE0,B70D10,808AD450,actors
ovl_En_Viewer,C4EB40,C519F0,B70D10,B72C40,808B1250,actors
ovl_En_Goma,C519F0,C54680,B72C40,B749E0,808B4120,actors
ovl_Bg_Pushbox,C54680,C54980,B749E0,B74C70,808B6DB0,actors
ovl_En_Bubble,C54980,C55DA0,B74C70,B75BD0,808B70B0,actors
ovl_Door_Shutter,C55DA0,C58020,B75BD0,B77490,808B84D0,actors
ovl_En_Dodojr,C58020,C59EC0,B77490,B789E0,808BA750,actors
ovl_En_Bdfire,C59EC0,C5AA50,B789E0,B792D0,808BC5F0,actors
ovl_En_Boom,C5AA50,C5B310,B792D0,B79A10,808BD180,actors
ovl_En_Torch2,C5B310,C5DA70,B79A10,B7B6B0,808BDA40,actors
ovl_En_Bili,C5DA70,C5FD40,B7B6B0,B7CEE0,808C01E0,actors
ovl_En_Tp,C5FD40,C61B90,B7CEE0,B7E500,808C24B0,actors
ovl_En_St,C61B90,C64800,B7E500,B803E0,808C4300,actors
ovl_En_Bw,C64800,C67B70,B803E0,B82680,808C6F70,actors
ovl_En_Eiyer,C67B70,C697D0,B82680,B83AA0,808CA2E0,actors
