offset,vram,.text
0,800116E0,src/code/z_en_a_keep
AA0,80012180,src/code/z_en_item00
2E90,80014570,src/code/z_eff_blure
6310,800179F0,src/code/z_eff_shield_particle
7980,80019060,src/code/z_eff_spark
9040,8001A720,src/code/z_eff_ss_dead
97E0,8001AEC0,src/code/z_effect
9F60,8001B640,src/code/z_effect_soft_sprite
AA00,8001C0E0,src/code/z_effect_soft_sprite_old_init
D520,8001EC00,src/code/flg_set
D930,8001F010,src/code/z_DLF
DB80,8001F260,src/code/z_actor
1A0C0,8002B7A0,src/code/z_actor_dlftbls
1A2C0,8002B9A0,src/code/z_bgcheck
23EA0,80035580,src/code/code_800430A0
241C0,800358A0,src/code/code_80043480
24550,80035C30,src/code/z_camera
38D70,8004A450,src/code/z_collision_btltbls
38DD0,8004A4B0,src/code/z_collision_check
40A50,80052130,src/code/z_common_data
40B00,800521E0,src/code/z_debug
40E10,800524F0,src/code/z_debug_display
412C0,800529A0,src/code/z_demo
45FE0,800576C0,src/code/code_80069420
46070,80057750,src/code/z_draw
47ED0,800595B0,src/code/z_sfx_source
48090,80059770,src/code/z_elf_message
48770,80059E50,src/code/z_face_reaction
487C0,80059EA0,src/code/code_8006C3A0
48940,8005A020,src/code/z_fcurve_data
48B80,8005A260,src/code/z_fcurve_data_skelanime
49370,8005AA50,src/code/z_horse
4A050,8005B730,src/code/z_jpeg
4A810,8005BEF0,src/code/z_kaleido_setup
4AC40,8005C320,src/code/z_kanfont
4AE50,8005C530,src/code/z_kankyo
52610,80063CF0,src/code/z_lib
537B0,80064E90,src/code/z_lifemeter
54B50,80066230,src/code/z_lights
55BF0,800672D0,src/code/z_malloc
55DD0,800674B0,src/code/z_map_mark
56420,80067B00,src/code/z_prenmi_buff
564E0,80067BC0,src/code/z_nulltask
56560,80067C40,src/code/z_olib
56C50,80068330,src/code/z_onepointdemo
5ABF0,8006C2D0,src/code/z_map_exp
5C860,8006DF40,src/code/z_parameter
67F30,80079610,src/code/z_path
68100,800797E0,src/code/z_frame_advance
681B0,80079890,src/code/z_player_lib
6BBE0,8007D2C0,src/code/z_prenmi
6BD80,8007D460,src/code/z_quake
6CBF0,8007E2D0,src/code/z_rcp
6E4F0,8007FBD0,src/code/z_room
6FC80,80081360,src/code/z_sample
70080,80081760,src/code/code_80097A00
70240,80081920,src/code/z_scene
716F0,80082DD0,src/code/z_scene_table
77D60,80089440,src/code/z_skelanime
7C6E0,8008DDC0,src/code/z_skin
7D280,8008E960,src/code/z_skin_awb
7DB90,8008F270,src/code/z_skin_matrix
7EF30,80090610,src/code/z_sram
80270,80091950,src/code/z_ss_sram
80440,80091B20,src/code/z_rumble
806E0,80091DC0,src/code/z_view
81E10,800934F0,src/code/z_vimode
82980,80094060,src/code/z_viscvg
82B20,80094200,src/code/z_vismono
83380,80094A60,src/code/z_viszbuf
83670,80094D50,src/code/z_vr_box
85F60,80097640,src/code/z_vr_box_draw
86660,80097D40,src/code/z_player_call
867D0,80097EB0,src/code/z_fbdemo
871F0,800988D0,src/code/z_fbdemo_triforce
877A0,80098E80,src/code/z_fbdemo_wipe1
87C10,800992F0,src/code/z_fbdemo_circle
882D0,800999B0,src/code/z_fbdemo_fade
88630,80099D10,src/code/shrink_window
887A0,80099E80,src/code/code_800BB0A0
88C70,8009A350,src/code/z_kaleido_manager
88EA0,8009A580,src/code/z_kaleido_scope_call
89180,8009A860,src/code/z_play
8CCB0,8009E390,src/code/PreRender
8EED0,800A05B0,src/code/TwoHeadGfxArena
8F0E0,800A07C0,src/code/TwoHeadArena
8F2A0,800A0980,src/code/audio_stop_all_sfx
8F2F0,800A09D0,src/code/audio_thread_manager
8F710,800A0DF0,src/code/title_setup
8F780,800A0E60,src/code/game
8FFC0,800A16A0,src/code/gamealloc
90100,800A17E0,src/code/graph
90AA0,800A2180,src/code/gfxalloc
90B00,800A21E0,src/code/listalloc
90C50,800A2330,src/code/main
91000,800A26E0,src/code/padmgr
91B20,800A3200,src/code/sched
927A0,800A3E80,src/code/speed_meter
931E0,800A48C0,src/code/sys_cfb
93300,800A49E0,src/code/sys_math
935A0,800A4C80,src/code/sys_math3d
99370,800AAA50,src/code/sys_math_atan
995A0,800AAC80,src/code/sys_matrix
9B9A0,800AD080,src/code/sys_ucode
9B9F0,800AD0D0,src/code/sys_rumble
9BD50,800AD430,src/code/code_800D31A0
9BD80,800AD460,src/code/irqmgr
9C3A0,800ADA80,src/code/code_n64dd_800AD410
9C450,800ADB30,src/code/code_n64dd_800AD4C0
9C540,800ADC20,src/code/fault
9E710,800AFDF0,src/code/kanread
9F1F0,800B08D0,src/audio/lib/synthesis
A2380,800B3A60,src/audio/lib/heap
A5750,800B6E30,src/audio/lib/load
A9540,800BAC20,src/audio/lib/thread
AADA0,800BC480,src/audio/lib/dcache
AAE20,800BC500,src/audio/lib/aisetnextbuf
AAEA0,800BC580,src/audio/lib/playback
ACE20,800BE500,src/audio/lib/effects
AD8A0,800BEF80,src/audio/lib/seqplayer
B0EF0,800C25D0,src/audio/general
B70B0,800C8790,src/audio/sfx
B8F00,800CA5E0,src/audio/sequence
BAB20,800CC200,src/code/gfxprint
BB720,800CCE00,src/code/rcp_utils
BBA50,800CD130,src/code/load
BBF00,800CD5E0,src/code/padutils
BC110,800CD7F0,src/code/code_800FC620
BC530,800CDC10,src/code/padsetup
BC670,800CDD50,src/code/fp_math
BCA20,800CE100,src/code/fp
BCB80,800CE260,src/code/system_malloc
BCDF0,800CE4D0,src/code/rand
BCEF0,800CE5D0,src/code/__osMalloc
BD8A0,800CEF80,src/libultra/libc/sprintf
BD970,800CF050,src/code/printutils
BD9D0,800CF0B0,src/code/jpegutils
BDEE0,800CF5C0,src/code/jpegdecoder
BE4D0,800CFBB0,src/libultra/os/getintmask
BE530,800CFC10,src/libultra/mgu/scale
BE5D0,800CFCB0,src/libultra/gu/sinf
BE790,800CFE70,src/libultra/gu/sins
BE800,800CFEE0,src/libultra/io/sptask
BEAF0,800D01D0,src/libultra/io/motor
BEEC0,800D05A0,src/libultra/io/siacs
BEF80,800D0660,src/libultra/io/controller
BF2C0,800D09A0,src/libultra/io/contreaddata
BF4A0,800D0B80,src/libultra/gu/perspective
BF730,800D0E10,src/libultra/io/sprawdma
BF7C0,800D0EA0,src/libultra/io/sirawdma
BF870,800D0F50,src/libultra/io/sptaskyield
BF890,800D0F70,src/libultra/gu/mtxutil
BFB00,800D11E0,src/libultra/gu/lookat
BFE30,800D1510,src/libultra/os/stoptimer
BFF20,800D1600,src/libultra/gu/sqrtf
BFF30,800D1610,src/libultra/os/afterprenmi
BFF50,800D1630,src/libultra/io/contquery
C0000,800D16E0,src/libultra/gu/lookathil
C07F0,800D1ED0,src/libultra/libc/xprintf
C14B0,800D2B90,src/libultra/libc/string
C1550,800D2C30,src/libultra/io/sp
C1580,800D2C60,src/libultra/gu/position
C17A0,800D2E80,src/libultra/io/sptaskyielded
C1820,800D2F00,src/libultra/gu/rotate
C1A10,800D30F0,src/libultra/io/aisetfreq
C1B60,800D3240,src/libultra/os/getactivequeue
C1B70,800D3250,src/libultra/mgu/normalize
C1C00,800D32E0,src/libultra/io/dpgetstat
C1C10,800D32F0,src/libultra/io/dpsetstat
C1C20,800D3300,src/libultra/gu/ortho
C1DE0,800D34C0,src/libultra/gu/cosf
C1F50,800D3630,src/libultra/gu/coss
C1F80,800D3660,src/libultra/os/settime
C1FB0,800D3690,src/libultra/io/visetevent
C2020,800D3700,src/libultra/gu/us2dex
C21A0,800D3880,src/libultra/io/pfsselectbank
C2220,800D3900,src/libultra/io/contsetch
C2290,800D3970,src/libultra/io/aigetlen
C22A0,800D3980,src/libultra/mgu/translate
C2340,800D3A20,src/libultra/io/contramwrite
C2590,800D3C70,src/libultra/io/pfsgetstatus
C27C0,800D3EA0,src/libultra/io/contpfs
C3340,800D4A20,src/libultra/libc/bcmp
C3460,800D4B40,src/libultra/io/contramread
C3690,800D4D70,src/libultra/io/crc
C3800,800D4EE0,src/libultra/io/pfsisplug
C3B40,800D5220,src/libultra/libc/xlitob
C3DE0,800D54C0,src/libultra/libc/ldiv
C3F70,800D5650,src/libultra/libc/xldtob
C4A30,800D6110,src/libultra/io/spgetstat
C4A40,800D6120,src/libultra/io/spsetstat
C4A50,800D6130,src/libultra/os/writebackdcacheall
C4A80,800D6160,src/libultra/os/getcurrfaultedthread
C4A90,800D6170,src/libultra/libc/llcvt
C4CA0,800D6380,src/libultra/io/vigetcurrframebuf
C4CE0,800D63C0,src/libultra/io/spsetpc
C4D20,800D6400,src/libultra/libc/sqrt
C4D30,800D6410,src/code/fmodf
C4D80,800D6460,src/code/__osMemset
C4DB0,800D6490,src/code/__osMemmove
C4E40,800D6520,src/code/z_message
D0620,800E1D00,src/code/z_game_over
D0B60,800E2240,src/code/z_construct
D1F20,800E3600,data/rsp.text

offset,vram,.data
D6610,800E7CF0,src/code/z_en_a_keep
D66B0,800E7D90,src/code/z_en_item00
D6950,800E8030,src/code/z_eff_blure
D6A00,800E80E0,src/code/z_eff_shield_particle
D6A50,800E8130,src/code/z_effect
D6AA0,800E8180,src/code/z_effect_soft_sprite
D6AB0,800E8190,src/code/z_effect_soft_sprite_old_init
D6BA0,800E8280,src/code/z_effect_soft_sprite_dlftbls
D6FB0,800E8690,src/code/flg_set
D7170,800E8850,src/code/z_actor
D7490,800E8B70,src/code/z_actor_dlftbls
DAF80,800EC660,src/code/z_bgcheck
DB0D0,800EC7B0,src/code/z_camera
DE620,800EFD00,src/code/z_collision_btltbls
DE900,800EFFE0,src/code/z_collision_check
DEBB0,800F0290,src/code/z_debug
DEBE0,800F02C0,src/code/z_debug_display
DEC30,800F0310,src/code/z_demo
DED90,800F0470,src/code/z_draw
DFE10,800F14F0,src/code/z_elf_message
DFE60,800F1540,src/code/z_face_reaction
E02A0,800F1980,src/code/z_game_dlftbls
E03C0,800F1AA0,src/code/z_horse
E04D0,800F1BB0,src/code/z_jpeg
E0510,800F1BF0,src/code/z_kaleido_setup
E0560,800F1C40,src/code/z_kankyo
