name,vrom_start,vrom_end,rom_start,rom_end,overlay_vram_start,overlay_dir
boot,1060,7170,1060,0,,
code,A88000,B8A230,A580D0,AF27E0,,
ovl_title,B8A230,B8AA80,AF27E0,AF2E20,80800000,gamestates
ovl_select,B8AA80,B8D700,AF2E20,AF4900,80800850,gamestates
ovl_opening,B8D700,B8D860,AF4900,AF4A30,808034D0,gamestates
ovl_file_choose,B8D860,B9C470,AF4A30,AFCFD0,80803630,gamestates
ovl_kaleido_scope,B9C470,BB8E30,AFCFD0,B0BEC0,80812260,misc
ovl_player_actor,BB8E30,BDF540,B0BEC0,B25210,8082EC90,actors
ovl_map_mark_data,BDF540,BE6020,B25210,B255C0,80855470,misc
ovl_En_Test,BE6020,BEB8D0,B255C0,B28A90,8085BF50,actors
ovl_Arms_Hook,BEB8D0,BEC640,B28A90,B29520,80861800,actors
ovl_Arrow_Fire,BEC640,BEE520,B29520,B2AFE0,80862570,actors
ovl_Arrow_Ice,BEE520,BF0420,B2AFE0,B2C850,80864450,actors
ovl_Arrow_Light,BF0420,BF2330,B2C850,B2E150,80866350,actors
ovl_Bg_Bdan_Objects,BF2330,BF3600,B2E150,B2EE80,80868260,actors
ovl_Bg_Bdan_Switch,BF3600,BF4A30,B2EE80,B2FA30,80869530,actors
ovl_Bg_Bom_Guard,BF4A30,BF4C50,B2FA30,B2FC20,8086A960,actors
ovl_Bg_Bombwall,BF4C50,BF5510,B2FC20,B30300,8086AB80,actors
ovl_Bg_Bowl_Wall,BF5510,BF5E90,B30300,B30B20,8086B440,actors
ovl_Bg_Breakwall,BF5E90,BF6D00,B30B20,B31680,8086BDC0,actors
ovl_Bg_Ddan_Jd,BF6D00,BF7350,B31680,B31B80,8086CC30,actors
ovl_Bg_Ddan_Kd,BF7350,BF7C40,B31B80,B32260,8086D280,actors
ovl_Bg_Dodoago,BF7C40,BF8980,B32260,B32CC0,8086DB70,actors
ovl_Bg_Dy_Yoseizo,BF8980,BFB770,B32CC0,B34C00,8086E920,actors
ovl_Bg_Ganon_Otyuka,BFB770,BFDDB0,B34C00,B36920,80871710,actors
ovl_Bg_Gate_Shutter,BFDDB0,BFE240,B36920,B36CA0,80873D50,actors
ovl_Bg_Gjyo_Bridge,BFE240,BFE730,B36CA0,B370D0,808741E0,actors
ovl_Bg_Gnd_Darkmeiro,BFE730,BFEEF0,B370D0,B37690,808746D0,actors
ovl_Bg_Gnd_Firemeiro,BFEEF0,BFF440,B37690,B37AF0,80874E90,actors
ovl_Bg_Gnd_Iceblock,BFF440,C00530,B37AF0,B38630,808753E0,actors
ovl_Bg_Gnd_Nisekabe,C00530,C006A0,B38630,B38780,808764E0,actors
ovl_Bg_Gnd_Soulmeiro,C006A0,C00F00,B38780,B38E80,80876650,actors
ovl_Bg_Haka,C00F00,C015C0,B38E80,B39430,80876EB0,actors
ovl_Bg_Haka_Gate,C015C0,C02650,B39430,B3A110,80877570,actors
ovl_Bg_Haka_Huta,C02650,C030F0,B3A110,B3A970,80878610,actors
ovl_Bg_Haka_Megane,C030F0,C034F0,B3A970,B3ACC0,808790B0,actors
ovl_Bg_Haka_MeganeBG,C034F0,C03BB0,B3ACC0,B3B210,808794B0,actors
ovl_Bg_Haka_Sgami,C03BB0,C047D0,B3B210,B3BB90,80879B70,actors
ovl_Bg_Haka_Ship,C047D0,C05220,B3BB90,B3C3C0,8087A790,actors
ovl_Bg_Haka_Trap,C05220,C067F0,B3C3C0,B3D3D0,8087B1E0,actors
ovl_Bg_Haka_Tubo,C067F0,C07210,B3D3D0,B3DC10,8087C7B0,actors
ovl_Bg_Haka_Water,C07210,C07A10,B3DC10,B3E1D0,8087D1D0,actors
ovl_Bg_Haka_Zou,C07A10,C08C00,B3E1D0,B3EF50,8087D9D0,actors
ovl_Bg_Heavy_Block,C08C00,C0A4F0,B3EF50,B40190,8087EBC0,actors
ovl_Bg_Hidan_Curtain,C0A4F0,C0AF90,B40190,B409C0,808804B0,actors
ovl_Bg_Hidan_Dalm,C0AF90,C0B7E0,B409C0,B41020,80880F50,actors
ovl_Bg_Hidan_Firewall,C0B7E0,C0BF40,B41020,B41660,808817A0,actors
